"","gutenberg_id","text"
"1",5230,"The Invisible Man"
"2",5230,""
"3",5230,"A Grotesque Romance"
"4",5230,""
"5",5230,"By H. G. Wells"
"6",5230,""
"7",5230,""
"8",5230,""
"9",5230,"CONTENTS"
"10",5230,""
"11",5230,"      I  The strange Man's Arrival"
"12",5230,"     II  Mr. Teddy Henfrey's first Impressions"
"13",5230,"    III  The thousand and one Bottles"
"14",5230,"     IV  Mr. Cuss interviews the Stranger"
"15",5230,"      V  The Burglary at the Vicarage"
"16",5230,"     VI  The Furniture that went mad"
"17",5230,"    VII  The Unveiling of the Stranger"
"18",5230,"   VIII  In Transit"
"19",5230,"     IX  Mr. Thomas Marvel"
"20",5230,"      X  Mr. Marvel's Visit to Iping"
"21",5230,"     XI  In the ""Coach and Horses"""
"22",5230,"    XII  The invisible Man loses his Temper"
"23",5230,"   XIII  Mr. Marvel discusses his Resignation"
"24",5230,"    XIV  At Port Stowe"
"25",5230,"     XV  The Man who was running"
"26",5230,"    XVI  In the ""Jolly Cricketers"""
"27",5230,"   XVII  Dr. Kemp's Visitor"
"28",5230,"  XVIII  The invisible Man sleeps"
"29",5230,"    XIX  Certain first Principles"
"30",5230,"     XX  At the House in Great Portland Street"
"31",5230,"    XXI  In Oxford Street"
"32",5230,"   XXII  In the Emporium"
"33",5230,"  XXIII  In Drury Lane"
"34",5230,"   XXIV  The Plan that failed"
"35",5230,"    XXV  The Hunting of the invisible Man"
"36",5230,"   XXVI  The Wicksteed Murder"
"37",5230,"  XXVII  The Siege of Kemp's House"
"38",5230," XXVIII  The Hunter hunted"
"39",5230,"         The Epilogue"
"40",5230,""
"41",5230,""
"42",5230,""
"43",5230,""
"44",5230,"CHAPTER I"
"45",5230,""
"46",5230,"THE STRANGE MAN'S ARRIVAL"
"47",5230,""
"48",5230,""
"49",5230,"The stranger came early in February, one wintry day, through a"
"50",5230,"biting wind and a driving snow, the last snowfall of the year, over"
"51",5230,"the down, walking from Bramblehurst railway station, and carrying a"
"52",5230,"little black portmanteau in his thickly gloved hand. He was wrapped"
"53",5230,"up from head to foot, and the brim of his soft felt hat hid every"
"54",5230,"inch of his face but the shiny tip of his nose; the snow had piled"
"55",5230,"itself against his shoulders and chest, and added a white crest to"
"56",5230,"the burden he carried. He staggered into the ""Coach and Horses"" more"
"57",5230,"dead than alive, and flung his portmanteau down. ""A fire,"" he cried,"
"58",5230,"""in the name of human charity! A room and a fire!"" He stamped and"
"59",5230,"shook the snow from off himself in the bar, and followed Mrs. Hall"
"60",5230,"into her guest parlour to strike his bargain. And with that much"
"61",5230,"introduction, that and a couple of sovereigns flung upon the table,"
"62",5230,"he took up his quarters in the inn."
