"","line_number","Chapter","word"
"1",1,1,"chapter"
"2",1,1,"i"
"3",3,1,"the"
"4",3,1,"strange"
"5",3,1,"man's"
"6",3,1,"arrival"
"7",6,1,"the"
"8",6,1,"stranger"
"9",6,1,"came"
"10",6,1,"early"
"11",6,1,"in"
"12",6,1,"february"
"13",6,1,"one"
"14",6,1,"wintry"
"15",6,1,"day"
"16",6,1,"through"
"17",6,1,"a"
"18",7,1,"biting"
"19",7,1,"wind"
"20",7,1,"and"
"21",7,1,"a"
"22",7,1,"driving"
"23",7,1,"snow"
"24",7,1,"the"
"25",7,1,"last"
"26",7,1,"snowfall"
"27",7,1,"of"
"28",7,1,"the"
"29",7,1,"year"
"30",7,1,"over"
"31",8,1,"the"
"32",8,1,"down"
"33",8,1,"walking"
"34",8,1,"from"
"35",8,1,"bramblehurst"
"36",8,1,"railway"
"37",8,1,"station"
"38",8,1,"and"
"39",8,1,"carrying"
"40",8,1,"a"
"41",9,1,"little"
"42",9,1,"black"
"43",9,1,"portmanteau"
"44",9,1,"in"
"45",9,1,"his"
"46",9,1,"thickly"
"47",9,1,"gloved"
"48",9,1,"hand"
"49",9,1,"he"
"50",9,1,"was"
"51",9,1,"wrapped"
"52",10,1,"up"
"53",10,1,"from"
"54",10,1,"head"
"55",10,1,"to"
"56",10,1,"foot"
"57",10,1,"and"
"58",10,1,"the"
"59",10,1,"brim"
"60",10,1,"of"
"61",10,1,"his"
"62",10,1,"soft"
"63",10,1,"felt"
"64",10,1,"hat"
"65",10,1,"hid"
"66",10,1,"every"
"67",11,1,"inch"
"68",11,1,"of"
"69",11,1,"his"
"70",11,1,"face"
"71",11,1,"but"
"72",11,1,"the"
"73",11,1,"shiny"
"74",11,1,"tip"
"75",11,1,"of"
"76",11,1,"his"
"77",11,1,"nose"
"78",11,1,"the"
"79",11,1,"snow"
"80",11,1,"had"
"81",11,1,"piled"
"82",12,1,"itself"
"83",12,1,"against"
"84",12,1,"his"
"85",12,1,"shoulders"
"86",12,1,"and"
"87",12,1,"chest"
"88",12,1,"and"
"89",12,1,"added"
"90",12,1,"a"
"91",12,1,"white"
"92",12,1,"crest"
"93",12,1,"to"
"94",13,1,"the"
"95",13,1,"burden"
"96",13,1,"he"
"97",13,1,"carried"
"98",13,1,"he"
"99",13,1,"staggered"
"100",13,1,"into"
"101",13,1,"the"
"102",13,1,"coach"
"103",13,1,"and"
"104",13,1,"horses"
"105",13,1,"more"
"106",14,1,"dead"
"107",14,1,"than"
"108",14,1,"alive"
"109",14,1,"and"
"110",14,1,"flung"
"111",14,1,"his"
"112",14,1,"portmanteau"
"113",14,1,"down"
"114",14,1,"a"
"115",14,1,"fire"
"116",14,1,"he"
"117",14,1,"cried"
"118",15,1,"in"
"119",15,1,"the"
"120",15,1,"name"
"121",15,1,"of"
"122",15,1,"human"
"123",15,1,"charity"
"124",15,1,"a"
"125",15,1,"room"
"126",15,1,"and"
"127",15,1,"a"
"128",15,1,"fire"
"129",15,1,"he"
"130",15,1,"stamped"
"131",15,1,"and"
"132",16,1,"shook"
"133",16,1,"the"
"134",16,1,"snow"
"135",16,1,"from"
"136",16,1,"off"
"137",16,1,"himself"
"138",16,1,"in"
"139",16,1,"the"
"140",16,1,"bar"
"141",16,1,"and"
"142",16,1,"followed"
"143",16,1,"mrs"
"144",16,1,"hall"
"145",17,1,"into"
"146",17,1,"her"
"147",17,1,"guest"
"148",17,1,"parlour"
"149",17,1,"to"
"150",17,1,"strike"
"151",17,1,"his"
"152",17,1,"bargain"
"153",17,1,"and"
"154",17,1,"with"
"155",17,1,"that"
"156",17,1,"much"
"157",18,1,"introduction"
"158",18,1,"that"
"159",18,1,"and"
"160",18,1,"a"
"161",18,1,"couple"
"162",18,1,"of"
"163",18,1,"sovereigns"
"164",18,1,"flung"
"165",18,1,"upon"
"166",18,1,"the"
"167",18,1,"table"
"168",19,1,"he"
"169",19,1,"took"
"170",19,1,"up"
"171",19,1,"his"
"172",19,1,"quarters"
"173",19,1,"in"
"174",19,1,"the"
"175",19,1,"inn"
"176",21,1,"mrs"
"177",21,1,"hall"
"178",21,1,"lit"
"179",21,1,"the"
"180",21,1,"fire"
"181",21,1,"and"
"182",21,1,"left"
"183",21,1,"him"
"184",21,1,"there"
