"","word","n"
"1","kemp",213
"2","invisible",176
"3","door",169
"4","hall",149
"5","marvel",112
"6","voice",92
"7","suddenly",79
"8","stood",78
"9","window",78
"10","heard",76
"11","hand",74
"12","house",72
"13","time",68
"14","moment",62
"15","stranger",61
"16","feet",57
"17","round",55
"18","white",55
"19","glass",53
"20","adye",52
"21","head",52
"22","air",48
"23","books",46
"24","found",46
"25","street",46
"26","light",44
"27","people",44
"28","bunting",43
"29","eyes",42
"30","left",42
"31","henfrey",41
"32","table",41
"33","looked",40
"34","sat",39
"35","empty",37
"36","parlour",36
"37","sir",36
"38","mariner",35
"39","day",33
"40","ran",33
"41","road",33
"42","coming",32
"43","corner",32
"44","cuss",32
"45","hands",32
"46","bar",31
"47","hat",31
"48","mind",31
"49","cried",30
"50","kemp's",30
"51","paper",30
"52","running",30
"53","chapter",29
"54","iping",29
"55","staring",29
"56","front",28
"57","night",28
"58","stopped",28
"59","strange",28
"60","upstairs",28
"61","bottles",27
"62","griffin",27
"63","huxter",27
"64","idea",27
"65","stared",27
"66","village",27
"67","black",26
"68","doors",26
"69","hill",26
"70","jaffers",26
"71","arm",25
"72","downstairs",25
"73","figure",25
"74","rushed",25
"75","story",25
"76","visible",25
"77","bit",24
"78","chair",24
"79","half",24
"80","kitchen",24
"81","shop",24
"82","steps",24
"83","study",24
"84","understand",24
"85","clothes",23
"86","passed",23
"87","policeman",23
"88","sound",23
"89","appeared",22
"90","caught",22
"91","flung",22
"92","mouth",22
"93","revolver",22
"94","sort",22
"95","world",22
"96","abruptly",21
"97","bed",21
"98","curious",21
"99","ground",21
"100","inn",21
"101","money",21
"102","shut",21
"103","teddy",21
"104","vanished",21
"105","locked",20
"106","morning",20
"107","presently",20
"108","quiet",20
"109","slowly",20
"110","struck",20
"111","told",20
"112","windows",20
"113","foot",19
"114","sleep",19
"115","suppose",19
"116","boots",18
"117","close",18
"118","closed",18
"119","cold",18
"120","dr",18
"121","fell",18
"122","floor",18
"123","fool",18
"124","matter",18
"125","remained",18
"126","rest",18
"127","save",18
"128","terror",18
"129","thomas",18
"130","visitor",18
"131","afternoon",17
"132","coat",17
"133","dark",17
"134","days",17
"135","eye",17
"136","fire",17
"137","food",17
"138","hit",17
"139","lay",17
"140","manner",17
"141","minute",17
"142","shoulder",17
"143","sitting",17
"144","staircase",17
